ID,Find,Context,Quant,Weight (gr),Object Type,Material,Stone Type,Notes,Descriptions,Length (mm),Width (mm),Thickness (mm),Diameter (mm),Origin,Building Phase,Real Date,Period_Date,Attribution
1068,14511,2872,1,0.64,Manuport,Mineral,Quartz,,"1 fragment quartz mineral possibly opal, does not yield to knife, subangular, grayish white, weak greasy lustre, faint layering",14,8,4,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1069,14512,3021,1,1.08,Manuport,Igneous Rock,"Rhyolite, weathered",,"Bone white, subangular fragmented manuport, fine grained but small red and and gray flecks visible in matrix, few vesicles, seem elongated, yields to knife, weathered rhyolite?",20,13,7,,Icelandic,S17.1,1670-1690,1660-1690,Meat Store
1070,14513,2896,1,2.48,Manuport,Sedimentary Rock,"Claystone, banded",,"Small subrounded pebble, water eroded, clear dark and light banding, very fine grained, cemented water sediment",18,11,10,,Icelandic,S17.2,1690-1700,1690-1720,Meat Store
1071,14514,2572,2,15.12,Manuport,Sedimentary Rock,"Claystone, banded",,"Subrounded pebbles, water eroded, faint to clear dark and light banding/lensing, very fine grained, cemented water sediment",23-32,15-20,14-15,,Icelandic,C.2,1720-1830,1720-1840,Courtyard
1072,14515,2612,1,7.86,Flake,Mineral,Jasper,,"Whitish gray to red, mottled, sharp edges, irregular to smooth fracture, no lustre, mix of jasper and chert/flint?",29,21,15,,Non-Icelandic?,C.2,1720-1830,1720-1840,Courtyard
1073,14516,2622,1,5.96,Manuport,Sedimentary Rock,"Claystone, banded?",,"Broken manuport, partially subrounded and smooth, but partially pitted, dark and white banding clear, dark bands more common than white, sharp edges, very fine grained, does not yield to knife",33,21,8,,Icelandic,C.2,1720-1830,1720-1840,Courtyard
1074,14517,2638,2,0.84,Flake,Mineral,Quartz,,"Bone white, sharp edges, scratch glass, thin flakes, no banding visible, no lustre, quartz mineral, very similar to 14541",11-12,10-12,2-3,,Icelandic?,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1075,14518,2831,1,2.1,Manuport,Sedimentary Rock,"Claystone, banded",,"Bone white to gray, faint banding, subrounded, waterworn, pitted and striated mildly, yields weakly to knife",16,13,9,,Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1076,14519,2666,1,0.26,Manuport,Mineral,Quartz,,"Grayish brown, very small pebble, subangular due to water erosion, faint glittery aspect, does not yield to knife, does not scratch glass but that might be due to there being no sharp angles, most likely quartz mineral, no more detailed analysis possible",7,7,5,,Icelandic,S17.4,1710-1720,1690-1720,Meat Store
1077,14520,2680,1,1.61,Manuport,Sedimentary Rock,"Claystone, banded",,"Bone white, faint banding, partially subangular due to water erosion, broken manuport, yields to knife, fine grained",13,10,10,,Icelandic,C.1,1670-1720,1660-1720,Courtyard
1078,14521,2689,2,5.19,Manuport,Sedimentary Rock,"Claystone, banded",,"Subangular to subrounded due to water erosion, manuports, bone white to light gray, faint banding, hvarfleirsteinn, slightly pitted and striated",19-20,15,6-9,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1079,14522,2689,1,9.1,Manuport,Igneous Rock,Obsidian,,"Black, glassy, partially subrounded, fragmented manuport, small white phenocrysts (feldspar) rare, sharp edges",22,22,15,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1080,14523,,1,9.08,Manuport,Igneous Rock,Basalt,[2804] but also said [2805],"Dark gray, subrounded most likely due to water erosion, resembles a little finger, vesicles small, moderate, fine grained, no clear phenocrysts",44,15,11,,Icelandic,,,,
1081,14524,2641,1,10.62,Manuport,Mineral,Quartz druse + Agate,,"Large cluster of clear quartz rock crystals growing together in one void, druse, squished, transparent, glassy lustre, scratch glass, the base of crystal cluster is white and gray banded concentric rings of agate, about 3 mm thick",35,18,16,,Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1082,14525,2641,1,6.18,Manuport,Mineral,Quartz + Agate,,"Cluster of small quartz rock crysals growing together in one void, translusent, no to mildly glassy lustre, base the concentric white and gray wavy rings of agate, partial outer surface of amygdale, pitted and rough, scratches glass",29,19,12,,Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1083,14526,2692,1,1.61,Manuport,Igneous Rock,Basalt,,"Dark gray, subrounded most likely due to water erosion, few light and dark tiny phenocrysts, glittery",14,10,8,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1084,14528,2693,1,3.81,Manuport,Igneous Rock,Rhyolite,,"Orangy light brown weathering coat, subrounded due to water erosion, rough surface, most likely rhyolite",32,13,7,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1085,14529,2693,1,5.43,Manuport,Igneous Rock,Basalt,,"Dark gray to redish gray, moderately vesicular, mildly glassy and ropey upper surface, low density, no clear phenocrysts, fragment of basalt lava",28,20,10,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1086,14530,3013,2,3.79,Manuport,Igneous Rock,Rhyolite,,"Yellowy gray, subangular, does not yield to knife, thin fragment/flake, possible flow banding, most likely rhyolite; smaller fragment grayish white to gray, dotted, fine grained, subangular, does not yield to knife, rhyolite?",14-20,12-14,8,,Icelandic,S17.1,1670-1690,1660-1690,Meat Store
1087,14531,2691,1,1.01,Manuport,Sedimentary Rock,"Claystone, banded",,"White and dark gray, clear ligth and dark banding, horizontal and parallel, subangular due to water erosion, does not yield to a knife",11,10,7,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1088,14532,2689,1,3.42,Flake,Sedimentary Rock,Flint,,"White to gray, rough outer surface, pitted, dotted and mottled matrix, partial glittery aspect, rough surface, scratches glass, small white chalky inclusion, could be bad quality flint fragment, coarse",21,19,13,,Non-Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1089,14533,2689,1,8.68,Manuport,Sedimentary Rock,"Claystone, banded",,"Cemented banded claystone, light and dark bands/layers, subangular due to water erosion, pits and striations moderate",29,24,12,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1090,14534,2694,1,5.76,Manuport,Mineral,Quartz + Chalcedony?/Agate?,,"Fragment of amygdale, outer surface pitted but fairly smooth, subangular, most likely due to formation in cavity, may be water eroded, inside a clear cluster of large quartz rock crystals crowing towards and into one another, base of cluster/outer side of",21,20,16,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1091,14535,2683,1,1.63,Manuport,Mineral,Onyx,,"Faint horizontal banding, white and translucent/gray bands, broken manuport, partially subangular most likely due to water erosion, scratches glass weakly",16,10,9,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1092,14536,2734,1,3.18,Manuport,Igneous Rock,Basalt,,"Very dark gray fragment/flake of manuport, one side rounded due to water erosion, other smooth fracture, no phenocrysts, very fine grained (dulkornótt), sharp edges, very similar to hammer 12228, same rock?",27,22,5,,Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1093,14537,2874,1,0.63,Manuport,Mineral,Quartz (agate?),,"Subrounded manuport, yellowy whitish brown, faint banding, possibly agate, scratches glass weakly",14,7,5,,Icelandic,S17.3,1700-1710,1690-1720,Meat Store
1094,14538,2915,1,6.12,Manuport,Igneous Rock,Rhyolite,,"Gray, subrounded most likely due to water erosion, pitted/vesicular, vesicles very small, moderate, yields weakly to knife, possible rhyolite fragment?",29,17,12,,Icelandic,S17.2,1690-1700,1690-1720,Meat Store
1095,14539,2638,1,2.13,Flake,Mineral,Jasper,,"Green to dark green, sharp edges, mottled and banded, weak greasy lustre, scratches glass",17,12,10,,Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1096,14540,2721,1,0.15,Manuport,Sedimentary Rock,Claystone,,"Brownish gray, subangular, fine grained, yields to knife, most likely cemented claystone, origin unknown",10,6,3,,Icelandic,S17.4,1710-1720,1690-1720,Meat Store
1097,14541,2638,1,0.87,Flake,Mineral,Quartz,,"Thin bone white flake, no to weakly greasy lustre, sharp edges, uneven fractures, scratches glass, no distinguishing features, most likely quartz mineral, very similar to 14517",19,9,4,,Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1098,14542,2686,1,7.57,Manuport,Mineral,Agate,,"White and whitish gray, clear banding, not horizontal but wavy, agate, one side the rough surface of amygdale, other sides fairly smooth",27,22,11,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1099,14543,2672,1,13.35,Manuport,Sedimentary Rock,"Claystone, banded",,"Manuport subangular due to water erosion, pitted and striated, bands of dark gray and bone white, irregular, yields to knife, could be claystone, could also possibly be rhyolite",42,28,11,,Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1100,14544,2672,1,0.52,Building material?,Mineral,Kaolinite? Chalk?,Needs weak hydrochloric acid (makes calcite fizz),"Similar to 14546, white, yields to fingernail, stains fingers, subrounded, kaolinite?",12,10,6,,Non-Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1101,14545,2872,2,3.66,Manuport,Igneous Rock,Rhyolite,,"Two subrounded manuports, fine grained, whitish gray to dark gray and redish gray ?, very faint banding in lighter fragment, both fragments could possibly be rhyolite but could also be claystone",13-14,13,8-10,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1102,14546,2813,1,0.36,Building material?,Mineral,Kaolinite?Chalk?,Needs weak hydrochloric acid (makes calcite fizz),"White, small ball, stains fingers, yields to fingernail, striated",,,,8-9,Non-Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1103,14547,2716,1,0.88,Flake,Sedimentary Rock,Flint,,"Gray, scratches glass, dotted, sharp to dull/irregular edges",13,11,5,,Non-Icelandic,S17.4,1710-1720,1690-1720,Meat Store
1104,14548,2755,1,8.85,Manuport,Sedimentary Rock,Claystone,,"Redishbrown weathering coat covers whole fragment, subrounded, fine grained, yields to knife, small fresh fracture indicates possible gray claystone, unclear wheather it is banded or not, fairly light",32,21,10,,Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1105,14549,2835,1,9.79,Manuport,Igneous Rock,Obsidian,,"Broken subrounded manuport, grayish black on outside, banding clear, black and glassy on inside, flow banding clear, horizontal and parallel, concoidal fracture",25,22,18,,Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1106,14550,2684,1,3.42,Manuport,Igneous Rock,Rhyolite,,"Subrounded, vesicular, tiny vesicles abundand, bone white, fine grained, no clear phenocrysts, does not yield to knife while weathering coat does, most likely rhyolite?",20,19,9,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1107,14551,2872,1,0.4,Roof Tile,Metamorphic Rock,Black slate,,"Black, partially brownish black and bent, possibly due to weathering, thin flake, fine grained",26,18,"1,25",,Non-Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1108,14552,2815,1,5.6,Roof Tile,Metamorphic Rock,Black slate,,"Black, fine grained, sharp edges, thick flake",48,33,"3,3",,Non-Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1109,14553,2780,1,13.87,Roof Tile,Metamorphic Rock,Black slate,,"Black, fine grained, sharp edges, thick flake",72,35,"3,3",,Non-Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1110,14554,2799,1,0.52,Roof Tile,Metamorphic Rock,Black slate,,"Gray to black, worn due to weathering, thin flake, edges dull and irregular",22,13,"1,1",,Non-Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1111,14555,2823,1,5.36,Manuport,Igneous Rock,Rhyolite,,"Light bonewhite brown, transluscent and dark phenocrysts visible in matrix, possibly feldspar and augite, faint flow banding, partially subrounded, broken manuport",22,19,10,,Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1112,14556,2649,2,2.62,Roof Tile,Metamorphic Rock,Black slate,,"Black, thin and thick flake, sharp edges, fine grained",19-43,18-19,"1,1-2",,Non-Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1113,14557,2637,1,0.65,Roof Tile,Metamorphic Rock,Black slate,,"Black, thin flake, fine grained, edges sharp to dull/irregular",23,12,"1,3",,Non-Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1114,14558,2643,1,0.57,Roof Tile,Metamorphic Rock,Black slate,,"Black, thin flake, fine grained, edges sharp to dull/irregular",22,19,"0,9",,Non-Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1115,14559,2810,1,3.47,Fuel,Sedimentary Rock,Coal,,"Black, glassy lustre, flat smooth to irregular fracture, does not stain fingers, flakes easily",21,20,15,,Non-Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1116,14560,2907,1,1.85,Fuel,Sedimentary Rock,Coal,,"Black, greasy to glassy lustre, flakes easily, stains fingers, faint banding/layering, irregular to smooth fracture",24,17,9,,Non-Icelandic,S24.1,1670-1720,1660-1720,Corridor
1117,14561,2823,1,0.71,Fuel,Sedimentary Rock,Coal,,"Black, greasy to fintly glassy lustre, cube-like fragment, faint banding, fractures easily, does not stain fingers",14,9,6,,Non-Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1118,14562,2821,1,1.2,Fuel,Sedimentary Rock,Coal,,"Black greasy to glassy lustre, flakes easily, faint staining of fingers, irregular but cube-like fracture",13,12,11,,Non-Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1119,14563,2788,3,14.34,Fuel,Sedimentary Rock,Coal,,"Black, greasy to glassy lustre, stains fingers black, cube-like to irregular fracture, flakes easily, low density",21-28,19-22,12-19,,Non-Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1120,14564,2782,1,3.66,Fuel,Sedimentary Rock,Coal,,"Black, greasy to glassy lustre, faint banding, cube-like to irregular fracture, does not stain fingers, flakes easily",23,16,12,,Non-Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1121,14565,2826,1,1.64,Fuel,Sedimentary Rock,Coal,,"Black, glassy, cube-like fragment, smooth sides, faint banding, low density, does not stain fingers, flakes easily",16,14,10,,Non-Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1122,14566,3071,1,489.3,Fish Hammer,Igneous Rock,"Basalt, vesicular",,"Dark gray, glittery aspect but no visible phenocrysts, large vesicles abundant, <1,5 cm in length, broken subrounded manuport, remnants of a hole through stone faint on one side of fragment, hole has been at least 2,2-3,6 cm in diameter",100,>60,76,,Icelandic,,,,
1123,14567,2874,1,3500,Gravestone,Igneous Rock,"Basalt, vesicular",,"Dark gray, very small transluscent phenocrysts rare, <2 mm in length, highly vesicular, vesicles mostly <0,5 cm in length, a few larger, smooth curved outer edge on one side most likely top of gravestone, fragmented on four sides, back flat and smooth but",230,220,45-55,,Icelandic,S17.3,1700-1710,1690-1720,Meat Store
1124,14568,3019,2,5500,Quernstone,Igneous Rock,"Basalt, vesicular, phenocrysts",,"Two partial fragments, dark gray, highly vesicular, vesicles <1 cm in length, transluscent feldspar phenocrysts rare but up to 6 mm in length, smooth rounded outer edge of stone, base flat and worn, edges subangular, two fragments of large quernstone, at",,,50,450-500,Icelandic,S17.1,1670-1690,1660-1690,Meat Store
1125,14569,2568,1,2000,Fish Hammer,Igneous Rock,"Basalt, vesicular",,"Dark gray, highly vesicular, vesicles <0,5 cm, a few bigger, white tiny phenocrysts rare, most likely feldspar, subrounded, manuport? large hole through middle of stone, one half missing, hole about 5-5,5 cm in diameter, stone must have been about 18 cm i",180,90,108,180,Icelandic,S25.3,1720,1720-1750,Boys Lodge (servants?)
1126,14570,2568,1,3000,Fish Hammer,Igneous Rock,"Basalt, vesicular",,"Dark gray, highly vesicular, vesicles <1 cm in length, abundant, no clear phenocrysts, rock weathered with a partial redish weathering coat, large hole through stone, broken, only half of hammer, hole about 4-4,3 cm in diameter, subangular",200,110-115,130,200-230,Icelandic,S25.3,1720,1720-1750,Boys Lodge (servants?)
1127,14571,2594,1,1500,Loom weight,Igneous Rock,"Basalt, phenocrysts",,"Subrounded due to water erosion, moderately vesicular, vesicles mostly <0,5 cm but some are bigger, through the stone through a big vesicle there is a large hole where string has probably been used to hold loom weight up, 2,3-2,5 cm in diameter, phenocrys",126,125,70,,Icelandic,S17.5,1720-1750,1720-1750,Meat Store
1128,14572,2870,1,2000,Worked,Igneous Rock,"Basalt, vesicular",Pivot hole?,"Worked basalt, dark gray, moderately vesicular, vesicles <0,5 cm in length, a few larger, very small transluscent feldspar phenocrysts very rare, hole in the middle of stone, about 4 cm in diameter, well rounded, bottom broken, top rather smooth, possibly",190,160-180,10-60,,Icelandic,S17.3,1700-1710,1690-1720,Meat Store
1129,14573,3020,1,338.57,Worked,Igneous Rock,Basalt,Quernstone (marked as one)? Could also be fragment of gravestone?,"Light gray, vesicles small (<2mm) and rare, coarse grained, both light and dark phenocrysts but none larger than 0,5 mm, one side completely flat, clearly worked/worn, no hole to indicate quernstone, could possibly be from pillow lava",107,65,43,,Icelandic,S17.1,1670-1690,1660-1690,Meat Store
1130,14574,2666,1,171.15,Manuport,Igneous Rock,Black pumice,,"Black, angular to subangular ""bomb"", very low density, highly vesicular/frothy, vesicles elongated, <8 mm in length",130,90,65,,Icelandic,S17.4,1710-1720,1690-1720,Meat Store
1131,14575,2665,1,17.82,Manuport,Igneous Rock,White pumice,South,"Subrounded, silvery to brown gray, fibrous, highly vesicular, vesicles elongated, low density",58,47,32,,Icelandic,S17.4,1710-1720,1690-1720,Meat Store
1132,14584,2949,2,38.34,Manuport,Sedimentary rock,Chemical sediment,SKH07,"Unclear, most likely some kind of mixture of sediment/tephra and chemical sediement/amorphous opal and or calcite etc. or just coarse chemical sediement with unrecognisable inclusion? Most likely formed close to a hot spring/geothermal heat, no clear pore",30-60,10-35,5-20,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1133,15066,2872,1,1,Manuport,Mineral,Calcite?,HCL?,"Breaks easily, chemical sediment, crusty, possibly calcite",16,15,11,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1134,15429,2992,,,?,?,?,,,,,,,,S17.1,1670-1690,1660-1690,Meat Store
1135,15430,2823,1,0.14,Flake,Mineral,Jasper,,"Small dark green and gray flake, mottled, partially transluscent, sharp edges, mild greasy lustre, (could also be flint)",11,8,2,,Icelandic?,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1136,15431,2653,1,0.59,Roof Tile,Metamorphic Rock,Black slate,,"Small thin black flake, fine grained, smooth, sharp and irregular edges",20,13,"1,35",,Non-Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1137,15432,2649,1,5.41,Roof Tile,Metamorphic Rock,Black slate,,"Large flake, black, clear flaky structure, fine grained, irregular/dull edges",51,38,"3,6",,Non-Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1138,15433,2829,1,6.26,Manuport,Igneous Rock,Obsidian,,"Black glassy core, rough bubbly grayish black outside, faint concoidal fractures in core, obsidian scoria",30,19,16,,Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
1139,15434,2695,1,10.9,Manuport,Igneous Rock,Obsidian,,"Black, glassy lustre in fracture, highly weathered fragment, poor example, obsidian scoria",36,28,12,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1140,15436,2872,1,3.87,Manuport,Igneous Rock,Basalt,,"Dark gray, glittery aspect but no phenocrysts >0,5 mm, three small vesicles are visible, one goes all the way through fragment, most likely natural, not artifact",24,23,5,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1141,15437,2965,1,0.16,Flake,Mineral,Opal,,"Light caramel brown, concoidal fracture, small fragment, sides subangular, faint glassy lustre, scratches glass weakly",7,6,2,,Icelandic,S17.1,1670-1690,1660-1690,Meat Store
1142,15438,2686,1,2,Manuport,Sedimentary Rock,Claystone,,"Grayish white, subangular most likely due to water erosion, small, very dark gray flecks in matrix, no vesicles, possible banding, very fine grained, yields to knife",15,12,8,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1143,15439,2910,2,2.54,Manuport,Sedimentary Rock,Claystone,,"Subangular to subrounded due to water erosion, manuports, very light gray to yellowy brown, one fragment has clear banding/layering, other is flat, neither yields to knife",13-17,12-13,4-8,,Icelandic,S17.2,1690-1700,1690-1720,Meat Store
1144,15440,2686,1,23.81,Flake,Sedimentary Rock,Flint,,"Large fragment, light to dark gray, highly worn due to use as strike-a-light, mottled and dotted",31,32,22,,Non-Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1145,15441,2710,1,2.25,Fuel,Sedimentary Rock,Coal,,"Black, glassy lustre, cube-like fracture, smooth to rough sides, faint layering/banding, flakes easily, stains fingers mildly",18,15,13,,Non-Icelandic,S25.2,1710-1720,1690-1720,Boys Lodge (servants?)
1146,15443,2872,1,0.63,Manuport,Igneous Rock,Obsidian,,"Subrounded most likely due to water erosion, black, glassy lustre, faint signs of concoidal fracture, no clear signs of working",9,7,7,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1147,15521,2527,1,2.22,Flake,Sedimentary Rock,Flint,ATH! SKH 06,"Dark gray, edges irregular to sharp, smooth sides, no to weak greasy lustre,",20,18,7,,Non-Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1148,15522,2525,2,0.53,Flake,Sedimentary Rock,Flint,ATH! SKH 06,"Light gray, mottled, sharp edges",7-16,7-11,2-3,,Non-Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1149,15523,2528,1,0.62,Flake,Sedimentary Rock,Flint,ATH! SKH 06,"Gray, mottled, sharp to dull/irregular edges",14,9,6,,Non-Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1150,15524,2542,3,1.48,Flake,Sedimentary Rock,Flint,ATH! SKH 06,"Light gray to gray, mottled, sharp edges",9-16,7,3-7,,Non-Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1151,15525,2341,1,1.49,Flake,Sedimentary Rock,Flint,ATH! SKH 06,"Black, transluscent at edges, dull/irregular to sharp edges, concoidal fracture",22,13,6,,Non-Icelandic,S25.3,1720,1720-1750,Boys Lodge (servants?)
1152,15526,2523,1,0.45,Flake,Sedimentary Rock,Flint,ATH! SKH 06,"Gray to dark gray, sharp edges, mottled, concoidal fracture",15,10,4,,Non-Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1153,15527,2181,1,12.42,Flake,Sedimentary Rock,Flint,ATH! SKH 06,"Gray, mottled and irregularly banded, worn, edges irregular/dull",33,20,20,,Non-Icelandic,S18.4,1700-1740,1690-1750,Pantry
1154,15528,2266,1,6.19,Flake,Sedimentary Rock,Flint,ATH! SKH 06,"Light gray, faintly mottled, fragment of flint nodule, one side subrounded and pitted+striated+smooth, edges angular, dull to sharp, flint/chert",20,18,18,,Non-Icelandic,IS.1,1650-1720,1630-1720,Interstice
1155,15529,2542,1,0.71,Manuport,Mineral,Quartz,ATH! SKH 06,"Small, subangular, grayish white, mildly transluscent, does not yield to a knife",12,8,7,,Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1156,15530,2527,2,1.98,Manuport,Mineral,Quartz,ATH! SKH 06,"Small, subangular most likely due to water erosion, grayish and brownish white, don´t yield to a knife, quartz mineral, further analysis impossible due to size of samples",8-17,7-13,7,,Icelandic?,S10.1,1700-1730,1690-1750,Kitchen
1157,15531,2537,1,9.83,Manuport,Igneous Rock,Rhyolite,ATH! SKH 06,"Larger fragment, subrounded rock, fine grained, whitish to redish gray weathering coat, most likely rhyolite;",28,25,17,,Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1158,15531,2537,1,0.29,Manuport,Mineral,Quartz,,"smaller fragment mildly transluscent, does not yield to a knife, scratches glass very weakly, quartz? Seems laminar, possibly onyx",8,7,4,,,S10.1,1700-1730,1690-1750,Kitchen
1159,15532,2538,1,1.8,Manuport,Mineral,Zeolite,ATH! SKH 06,"White, yields to a knife, does not yield to fingernail, subrounded due to water erosion, faintly diamond shape, suggests a eroded scolecite or mesolite cluster",16,15,8,,Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1160,15533,2341,1,6.96,Manuport,Sedimentary Rock,Claystone,ATH! SKH06,"Grayish bone white, fragment subrounded on one side, rough on the other/fractured, side of stone suggests it´s laminated, hvarfleirsteinn?",41,30,5,,Icelandic,S25.3,1720,1720-1750,Boys Lodge (servants?)
1161,15534,2525,1,1.64,Manuport,Igneous Rock,Basalt,ATH! SKH 06,"Smaller fragment bluish dark gray, fine grained, fragmented, subrounded on one side, smooth and angular on the other, most likely basalt, blágrýti;",16,14,8,,Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1162,15534,2525,1,1.85,Manuport,Mineral,Quartz,,"other is yellowy bone white, subrounded most likely due to water erosion, scratches glass, quartz mineral",23,14,5,,Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1163,15535,2525,1,1.49,Flake,Sedimentary Rock,Flint,ATH! SKH 06,"Light gray, mottled, subangular, edges dull to irregular",22,12,6,,Non-Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1164,15536,2139,1,86.49,Flake,Igneous Rock,Basalt,ATH! SKH 06 - G [2067],"Dark gray basalt fragment, with gray and red weathering coat, fine grained, no clear phenocrysts, rough fracture, rough surface, no vesicles, shaped like an axehead, no clear indications of human working/usage",70,64,17,,Icelandic,S18.4,1700-1740,1690-1750,Pantry
1165,15539,2139,1,0.51,Fuel,Sedimentary Rock,Coal,ATH! SKH 06 - Group [2067],"Black, greasy to glassy lustre, low density, faint layering, breaks easily, does not stain the fingers, angular, dull to sharp edges",10,8,7,,Non-Icelandic,S18.4,1700-1740,1690-1750,Pantry
1166,15580,2524,1,0.89,Manuport,Igneous Rock,Obsidian,ATH! SKH 06,"Subangular, weathered obsidian, faint glassy lustre",11,8,8,,Icelandic,S10.1,1700-1730,1690-1750,Kitchen
1167,15592,1627,1,0.54,Flake,Sedimentary Rock,Flint,ATH! SKH 05,"Gray, mottled and dotted, sharp edges, no lustre",18,13,3,,Non-Icelandic,S7.1,1720-1760,1720-1780,Vestibule & Corridor
1168,16437,5029,1,8.91,Flake,Igneous Rock,Obsidian,,"Black, glassy, sharp edges, smooth curved to irregular fracture, opaque, fairly high density, scratches glass",38,26,8,,Icelandic,,,,
1169,16438,5029,2,1.93,Fuel,Sedimentary Rock,Coal,"steinkol - Area A [002] sample 1, marked as 16338 in main dataset (access), put in box 4/8","Black, greasy lustre, cube like to irregular fracture, one does not stain fingers, other does, flakes easily, faint to clear banding",18-21,8-16,6-7,,Foreign,,,,
1170,17085,2930,1,79.5,Worked,Igneous Rock,Basalt,Fragment of gravestone?,"Dark gray, no vesicles, no phenocrysts, irregular fracture, one side of fragment is smooth and has a straight line carved into it, could possibly be a broken gravestone?",51,51,31,,Icelandic,S17.2,1690-1700,1690-1720,Meat Store
1171,17086,2903,1,84.64,Worked,Igneous Rock,Tuff,,"Dark grayish brown, coarse, fairly low density, at least two smooth sides most likely worked. On one side a  shallow straight and narrow groove has been abraded into it, on the opposite side the rock has also been partially abraded, purpose unclear",76,46,42,,Icelandic,S23.1,1700-1720,1690-1720,Bishops Living Quarters
1172,17087,2972,1,38.83,Manuport,Igneous Rock,"Basalt, vesicular",,"Dark gray, glittery aspect but no phenocrysts >1 mm, one side is subangular most likely due to water erosion, vesicles are rare to moderate but small to large, at least six airtunnels through the stone are visible along with a few small vesicles <4 mm in",57,39,19,,Icelandic,S17.1,1670-1690,1660-1690,Meat Store
1173,17088,2827,1,4.61,"Manuport, worked?",Igneous Rock,White pumice,,"Silvery gray, subrounded most likely due to water erosion, low density, fibrous, vesicles abundant and some elongated, yields to fingernail, no clear indications of human working",43,25,18,,Icelandic,S25.1,1670-1710,1660-1720,Boys Lodge (servants?)
